category,roots,meaning,word,breakdown,definition,phonetic,example,translation,native_vibe,synonym_nuance,visual_prompt,social_status,emotional_tone,street_usage,collocation,etymon_story,usage_warning,memory_hook,audio_tag
(測試),geno- (起源/種族) + -type (模型/印記),"The genetic makeup of an organism or a group of organisms with reference to a single trait, set of traits, or its entire complex of traits; the inherited genetic identity.",genotype,geno (origin/kind) + type (model/pattern),基因型：生物體內在的遺傳密碼與基因組合。,/ˈdʒiːnəˌtaɪp/,"Even if two individuals have the same phenotype (look identical), their genotypes might differ if one is heterozygous and the other homozygous for a dominant trait.",即便兩個個體的「表型」相同（看起來一模一樣），他們的「基因型」也可能不同——例如一個是雜合子，而另一個是純合子。,"顏色是那種冷峻的灰藍色或乾淨到反光的白色，溫度嘛，絕對是空調房裡的20度C，精準、客觀，沒有一絲暖意。它聽起來像穿著合身、沒有一絲皺褶的西裝，在生物科技公司年會上對著投影片講話的科學家，或是某個研究機構的首席研究員。絕不是那種T恤破洞、膝蓋磨損、在街角跟朋友聊滑板技巧的少年會脫口而出的字眼。它本身就是一種藍圖，一種硬核的程式碼，不帶情緒，只有事實。

至於要把它硬生生塞進日常對話，還帶點情緒或諷刺？嘿，這才是有趣的地方。

「我跟你說，我男朋友那個『總愛把髒襪子塞沙發底下』的基因型，簡直是人類演化史上的一個謎團！每次看到我都想拿去比對他的染色體，看看是不是少了哪一小段負責『整潔』的DNA序列！」",Genotype (基因型) 特指生物體所擁有的 對偶基因組成 (Allelic Composition)；它與 Phenotype (表型/性狀) 不同，後者是指我們肉眼能觀察到的 外在表現 (Observable Expression)。,一條閃耀且複雜的雙螺旋，如同用隱形墨水書寫的秘密密碼，或是在微觀細胞中展開的複雜說明書。,客觀、分析、事實導向、精確且中立。它描述的是科學現實，不帶情感。,想像每個細胞裡都住著一位古板的外星圖書館員，守護著數十億卷「關於你」的指令清單。那座隱形的巨大圖書館就是 Genotype，如果你念錯，管理員會對你翻白眼。,老兄，他的 Genotype 就不允許他在中午前起床。這懶鬼屬性是寫在基因代碼裡的，別掙扎了。,"Human genotype, Specific genotype, Analyze genotype, Heterozygous genotype.",來自古希臘語 genos（血統、起源）與 typos（印記、模型）。它描述的是一種「預先設定好的生命模具」。,除非是在諷刺或是嚴謹討論生物學，否則在約會時用這個字會顯得太過「書呆子 (Pedantic)」。,memory_hook,audio_tag
進階高中,phil,愛,philanthropic,phil + anthro (人),博愛的/慈善的,/ˌfɪl.ænˈθrɑː.pɪk/,Philanthropic work.,慈善工作。,,,,,,,,,,,
進階高中,soph,智慧,sophisticated,soph + isticated,精密的/老練的,/səˈfɪs.tə.keɪ.t̬ɪd/,Sophisticated tools.,精密的工具。,,,,,,,,,,,
進階高中,sag,聰明,sagacious,sag (智) + acious,睿智的,/səˈɡeɪ.ʃəs/,A sagacious leader.,睿智的領導者。,,,,,,,,,,,
進階高中,rat,比例/計算,rational,rat + ional,合理的/理性的,/ˈræʃ.ən.əl/,Rational decision.,理性的決定。,,,,,,,,,,,
進階高中,illusion,玩弄/欺騙,disillusion,dis + illusion,醒悟/幻滅,/ˌdɪs.ɪˈluː.ʒən/,Disillusion with politics.,對政治感到幻滅。,,,,,,,,,,,
進階高中,spec,看/推測,speculation,spec + ulation,推測/投機,/ˌspek.jəˈleɪ.ʃən/,Pure speculation.,純屬推測。,,,,,,,,,,,
進階高中,dog,觀點,dogmatic,dog (教條) + matic,教條的/武斷的,/dɑːɡˈmæt̬.ɪk/,Dogmatic approach.,武斷的做法。,,,,,,,,,,,
進階高中,orthodox,正確/觀點,unorthodox,un + ortho + dox,非正統的,/ʌnˈɔːr.θə.dɑːks/,Unorthodox methods.,非正統的方法。,,,,,,,,,,,
進階高中,crit,判斷,criterion,crit (標準),標準/準則,/kraɪˈtɪr.i.ən/,Success criterion.,成功準則。,,,,,,,,,,,
進階高中,mem,提醒,memento,mem (記) + ento,紀念品,/məˈmen.toʊ/,Memento of the trip.,旅途的紀念品。,,,,,,,,,,,
進階高中,consci,知道,conscientious,con + sci + entious,認真盡責的,/ˌkɑːn.ʃiˈen.ʃəs/,Conscientious student.,認真盡責的學生。,,,,,,,,,,,
進階高中,agnos,不知道,agnostic,a (不) + gnos (知),不可知論者,/æɡˈnɑː.stɪk/,Remain agnostic.,保持不可知論的態度。,,,,,,,,,,,
進階高中,sens,感覺,sensational,sens + ational,轟動的,/senˈseɪ.ʃən.əl/,Sensational news.,轟動的新聞。,,,,,,,,,,,
進階高中,sent,情感,sentimental,sent + imental,多愁善感的,/ˌsen.t̬əˈmen.t̬əl/,Sentimental value.,情感價值。,,,,,,,,,,,
進階高中,am,愛,amiable,am (愛) + iable,和藹可親的,/ˈeɪ.mi.ə.bəl/,Amiable neighbor.,和藹可親的鄰居。,,,,,,,,,,,
進階高中,bene,好,benevolent,bene + vol (願),仁慈的,/bəˈnev.əl.ənt/,Benevolent king.,仁慈的國王。,,,,,,,,,,,
進階高中,male,壞,malevolent,male + vol,惡毒的,/məˈlev.əl.ənt/,Malevolent ghost.,惡毒的幽靈。,,,,,,,,,,,
進階高中,misan-,恨,misanthrope,mis + anthrope (人),憤世嫉俗者,/ˈmɪs.ən.θroʊp/,Becoming a misanthrope.,變得憤世嫉俗。,,,,,,,,,,,
進階高中,path,感情,empathetic,em (入) + pathy,感同身受的,/ˌem.pəˈθet̬.ɪk/,Empathetic listener.,有同理心的傾聽者。,,,,,,,,,,,
進階高中,dem,人民,democracy,demo + cracy (統治),民主,/dɪˈmɑː.krə.si/,Western democracy.,西方式民主。,,,,,,,,,,,
